country,country code,measure,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,consumption,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.11,0.11,0.1,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.19,0.21,0.23,0.25
Afghanistan,AFG,farmed,,,,,,,,,60,60,60,60,60,60,60,170,170,170,170,170,170,170,170,170,170,170,170,170,170,300,300,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,1050,1050,1650,2250,2850,3480,4110,4760,5450,6150,7000
Afghanistan,AFG,population,8703000,8877000,9061000,9254000,9457000,9673000,9893000,10127000,10369000,10620000,10886000,11146000,11427000,11723000,12016000,12298000,12552000,12822000,13055000,12917000,12056000,10254000,9922000,9981000,10507000,10518000,10379000,10267000,10500000,10846000,10544000,10947000,13168000,14839000,16072000,16766000,17447000,18130000,18856000,19670000,19416000,19961000,22039000,23251000,23856000,24966000,25920000,25887000,26967000,27803000,28576000,29922000,31011000,32072000,33361000,34146000,35126000
Afghanistan,AFG,wild caught,300,300,300,300,300,300,400,400,400,400,500,500,500,500,600,600,600,600,600,700,700,700,800,800,800,800,1000,1000,1000,1100,1100,1200,1200,1300,1300,1300,1250,1200,1200,1000,800,900,900,1000,1000,1000,1000,1000,1000,1000,1150,1300,1450,1600,1750,1900,2000
Albania,ALB,consumption,1.92,1.63,1.69,1.65,2.13,2.08,2.53,2.95,3.36,3.74,3.64,3.55,3.46,3.59,3.5,3.42,3.34,3.45,3.37,3.29,3.35,3.21,3.3,2.59,3.7,2.88,3.24,3.35,2.56,2.19,0.59,0.71,0.8,0.88,1.39,1.02,1.15,1.71,2.66,3.28,3.28,4.55,4.35,4.64,4.8,4.77,5.24,5.48,5.9,5.73,5.86,4.97,4.87,5.34,5.35,5.36,5.36
Albania,ALB,farmed,0,0,0,0,0,0,0,0,0,0,0,0,3,45,85,123,164,193,260,339,455,699,1162,1197,1208,2165,2368,3732,2604,4961,859,397,389,395,340,323,97,124,310,307,286,860,1473,1569,1473,2057,2092,2000,2317,2520,2345,3450,3700,4000,3495,4750,4430
Albania,ALB,population,1740000,1798000,1858000,1919000,1979000,2040000,2101000,2164000,2227000,2292000,2357000,2422000,2488000,2553000,2618000,2682000,2745000,2805000,2862000,2916000,2968000,3017000,3065000,3111000,3153000,3191000,3224000,3252000,3274000,3290000,3300000,3304000,3303000,3298000,3290000,3279000,3264000,3244000,3221000,3196000,3168000,3139000,3108000,3078000,3047000,3018000,2989000,2963000,2940000,2921000,2906000,2895000,2889000,2885000,2883000,2882000,2880000
Albania,ALB,wild caught,3200,2800,3000,3000,4000,4000,5000,6000,7000,8000,8000,8000,7997,8455,8415,8377,8336,8807,8740,8661,8921,8812,8653,6809,10191,9757.200195,10766.40039,10827.2998,9357.400391,10054.59961,3012,2696.199951,2500,2100,1380.300049,2126.199951,1013.799988,2683.5,2747.899902,3328,3311.199951,3656.800049,2801.600098,4549.5,5000,5652.299805,5413.399902,5365,5811,5132.200195,4805.200195,8605.200195,8973.5,8705.5,7855.5,7861.700195,8564.200195
Algeria,DZA,consumption,3.31,1.93,1.36,1.52,1.36,1.52,1.4,1.13,1.44,1.46,1.38,1.7,1.7,2.06,2.15,1.92,2.27,1.86,2.1,2.47,2.9,3.25,3.28,3.19,3.43,3.57,4.26,4.41,4.07,3.51,2.95,3.44,3.61,4.73,3.9,2.91,3.17,3.28,3.58,3.84,4.46,4.5,5.03,4.23,4.45,5.12,5.13,4.7,4.75,3.81,3.94,3.99,3.92,4.4,4.16,3.92,3.86
Algeria,DZA,farmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,95,141,250,274,304,368,407,150,147,300,389,369,322,322,283,250,351,454,476,417,586,368,288,405,2779.916016,2163.231934,1758.741943,2245.77002,2644.001953,2192.881104,2410.9729,1332.98999,1376,1416
